element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
glycated;2;dia_lab_glycated_hemoglobin;Diagnosis Laboratory data;Rare Liver (Vascular);Glycated hemoglobin;numeric
glycated;2;fu_glycated_hemoglobin;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Glycated hemoglobin;numeric
gonadal;8;Disorder of gonadal development;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Disorder of gonadal development;
gonadal;8;Complete gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Complete gonadal dysgenesis;
gonadal;8;Partial gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Partial gonadal dysgenesis;
gonadal;8;Gonadal regression;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Gonadal regression;
gonadal;8;Disorder of gonadal development;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Disorder of gonadal development;
gonadal;8;Complete gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Complete gonadal dysgenesis;
gonadal;8;Partial gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Partial gonadal dysgenesis;
gonadal;8;Gonadal regression;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Gonadal regression;
gonadotropic;3;Functioning gonadotropic adenoma;PITUITARY;EuRR-Bone & EuRRECa;Functioning gonadotropic adenoma;
gonadotropic;3;Congenital hypogonadotropic hypogonadism;PITUITARY;EuRR-Bone & EuRRECa;Congenital hypogonadotropic hypogonadism;
gonadotropic;3;Normosmic congenital hypogonadotropic hypogonadism;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Normosmic congenital hypogonadotropic hypogonadism;
gp210;4;R_PBC_gp210_ELISA;(PBC Diagnosis) Autoantibodies;Rare Liver (Auto imune);gp210 (ELISA);radio
gp210;4;R_PBC_gp210_Immunoblot;(PBC Diagnosis) Autoantibodies;Rare Liver (Auto imune);gp210 (Immunoblot);radio
gp210;4;R_PBC_gp210_followup;PBC Follow-up Autoantibodies;Rare Liver (Auto imune);gp210 (ELISA);radio
gp210;4;R_PBC_gp210_Immunoblot_followup;PBC Follow-up Autoantibodies;Rare Liver (Auto imune);gp210 (Immunoblot);radio
grade;10;R_AIH_Grade_Scheuer;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Grade (Scheuer);numeric
grade;10;R_AIH_Grade_scheuer_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Grade (Scheuer);numeric
grade;10;esophageal_varices_grade;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Grade;radio
grade;10;ae_grade;adverse_event;EURACAN;Adverse events grade (CTCAE v5);1, Grade 1 | 2, Grade 2 | 3, Grade 3 | 4, Grade 4 | 5, Grade 5
grade;10;ae_grade_2;adverse_event;EURACAN;Second adverse events grade (CTCAE v5);1, Grade 1 | 2, Grade 2 | 3, Grade 3 | 4, Grade 4 | 5, Grade 5
grade;10;ae_grade_3;adverse_event;EURACAN;Third adverse events grade (CTCAE v5);1, Grade 1 | 2, Grade 2 | 3, Grade 3 | 4, Grade 4 | 5, Grade 5
grade;10;ae_grade_4;adverse_event;EURACAN;Fourth adverse events grade (CTCAE v5);1, Grade 1 | 2, Grade 2 | 3, Grade 3 | 4, Grade 4 | 5, Grade 5
grade;10;ae_grade_5;adverse_event;EURACAN;Fifth adverse events grade (CTCAE v5);1, Grade 1 | 2, Grade 2 | 3, Grade 3 | 4, Grade 4 | 5, Grade 5
grade;10;Major adverse effects to chemotherapy (grade IV);Chemotherapy;PaedCan;Please report Grade IV toxicity (excluding hematologic toxicity);yes/no/unknown
grade;10;Major adverse effect (grade IV);Radiotherapy;PaedCan;Describe any adverse effect related  to radiotherapy if any;yes/no/unknown
gradient;2;hv_gradient_before_tips;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Hepatic venous pressure gradient Before TIPS;numeric
gradient;2;hv_gradient_after_tips;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Hepatic venous pressure gradient After TIPS;numeric
grading;9;R_PBC_Grading_scheuer_diagnosis;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Grading (Scheuer);numeric
grading;9;R_PBC_nakanuma_grading_score;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Nakanuma grading score;calculation
grading;9;R_PSC_Grading_scheuer;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Grading (Scheuer);numeric
grading;9;R_PSC_Nakanuma_grading_score;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Nakanuma grading score;calculation
grading;9;R_PSC_Grading_scheuer_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Grading (Scheuer);numeric
grading;9;R_PSC_Nakanuma_grading_score_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Nakanuma grading score;calculation
grading;9;R_AIH_Nakanuma_grading_score_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Nakanuma grading score;calculation
grading;9;R_PBC_Grading_scheuer_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Grade (Scheuer);numeric
grading;9;R_PBC_Nakanuma_grading_score_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Nakanuma grading score;calculation
grams;1;alcohol_grams_per_week;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Average grams of ethanol per week;radio
granules;5;R_PBC_Deposition_orcein_positive_granules_nakanuma;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Deposition of orcein positive granules;numeric
granules;5;R_PSC_Deposition_orcein_positive_granules_nakanuma;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Deposition of orcein positive granules;numeric
granules;5;R_PSC_Deposition_orcein_positive_granules_nakanuma_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Deposition of orcein positive granules;numeric
granules;5;R_AIH_Deposition_orcein_positive_granules_nakanuma_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Deposition of orcein positive granules;numeric
granules;5;R_PBC_Deposition_orcein_positive_granules_nakanuma_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Deposition of orcein positive granules;numeric
graves;1;Paediatric-onset Graves disease;THYROID;EuRR-Bone & EuRRECa;Paediatric-onset Graves disease;
grip;2;Right hand grip (KgW):;QMG;EURO-NMD;;
grip;2;Left hand grip (KgW):;QMG;EURO-NMD;;
group;1;Condition Group;Disease History;EuRR-Bone & EuRRECa;One of eight MTGs of Endo-ERN;boxes
growth;16;Growth delay due to insulin-like growth factor I resistance;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Growth delay due to insulin-like growth factor I resistance;
growth;16;Overgrowth Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Overgrowth Syndrome;
growth;16;15q overgrowth syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;15q overgrowth syndrome;
growth;16;Chromosomal disease with overgrowth;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Chromosomal disease with overgrowth;
growth;16;Global developmental delay-lung cysts-overgrowth-Wilms tumour syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Global developmental delay-lung cysts-overgrowth-Wilms tumour syndrome;
growth;16;Malan overgrowth syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Malan overgrowth syndrome;
growth;16;Megalencephaly-severe kyphoscoliosis-overgrowth syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Megalencephaly-severe kyphoscoliosis-overgrowth syndrome;
growth;16;Non syndromic limb overgrowth;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Non syndromic limb overgrowth;
growth;16;Overgrowth or tall stature syndrome with skeletal involvement;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Overgrowth or tall stature syndrome with skeletal involvement;
growth;16;Overgrowth syndrome with 2q37 translocation;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Overgrowth syndrome with 2q37 translocation;
growth;16;Overgrowth-macrocephaly-facial dysmorphism syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Overgrowth-macrocephaly-facial dysmorphism syndrome;
growth;16;Overgrowth-metaphyseal undermodeling-spondylar dysplasia syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Overgrowth-metaphyseal undermodeling-spondylar dysplasia syndrome;
growth;16;Overgrowth/obesity syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Overgrowth/obesity syndrome;
growth;16;PIK3CA-related overgrowth syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;PIK3CA-related overgrowth syndrome;
growth;16;Segmental progressive overgrowth syndrome with fibroadipose hyperplasia;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Segmental progressive overgrowth syndrome with fibroadipose hyperplasia;
growth;16;Skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome;
guidelines;1;Chemotherapy given according to a protocol or guidelines;Chemotherapy;PaedCan;;yes/no/unknown
h.cmv;1;"h.	CMV prophylaxis during follow-up:";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
h.post-operative;1;"h.	Post-operative drainage:	";2.       Transplantation surgery:;Eurogen (Kid Transplantation);;[Tickbox, multiple selection]
ha;166;Ophthalmoparesis;Diagnosis Eye;EURO-NMD;;yesno
ha;166;EMG: neuropathic changes;Diagnosis EMG;EURO-NMD;neurogenic;
ha;166;Change of severity in puberty;Diagnosis Fluctuation;EURO-NMD;;yesno
ha;166;Change of severity with menstrual cycle;Diagnosis Fluctuation;EURO-NMD;;yesno
ha;166;Change of severity with hormonal therapy;Diagnosis Fluctuation;EURO-NMD;;yesno
ha;166;Change of severity with pregnancy or childbirth;Diagnosis Fluctuation;EURO-NMD;;yesno
ha;166;Transfer from chair to bed;Mobility ;EURO-NMD;;single
ha;166;Independent feeding (hand to mouth);Mobility ;EURO-NMD;;single
ha;166;Right hand grip (KgW):;QMG;EURO-NMD;;
ha;166;Left hand grip (KgW):;QMG;EURO-NMD;;
ha;166;R_AIH_Ishak;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Ishak score assessed;radio
ha;166;R_AIH_Stage_of_liver_fibrosis_Ishak;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
ha;166;R_AIH_mHAI;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);mHAI;numeric
ha;166;R_AIH_Tanner_stage_pubic_hair;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Tanner stage (1-5 pubic hair);numeric
ha;166;R_AIH_Esophageal_or_gastric_varices;(AIH Diagnosis) Liver related complications;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ha;166;R_AIH_Encephalopathy_diagnosis;(AIH Diagnosis) Liver related complications;Rare Liver (Auto imune);Overt encephalopathy;radio
ha;166;R_PBC_Ishak_score;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Ishak score assessed?;radio
ha;166;R_PBC_Stage_of_liver_fibrosis_ishak;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
ha;166;R_PBC_mHAI;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);mHAI;numeric
ha;166;R_PBC_Tanner_stage_pubic_hair;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Tanner stage (1-5, pubic hair);numeric
ha;166;R_PBC_Esophageal_or_gastric_varices;(PBC Diagnosis) Liver-related complications / signs of cirrhosis;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ha;166;R_PBC_Encephalopathy_diagnosis;(PBC Diagnosis) Liver-related complications / signs of cirrhosis;Rare Liver (Auto imune);Overt encephalopathy;radio
ha;166;R_PSC_Ishak_score_assessed_diagnosis;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Ishak score assessed;radio
ha;166;R_PSC_Fibrosis_stage_Ishak;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
ha;166;R_PSC_mHAI;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);mHAI;numeric
ha;166;R_PSC_Tanner_stage_pubic_hair_diagnosis;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Tanner stage (1-5 pubic hair);numeric
ha;166;R_PSC_Esophageal_gastric_varices;(PSC Diagnosis) Malignancies / Liver-related outcome;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ha;166;R_PSC_Overt_encephalopathy;(PSC Diagnosis) Malignancies / Liver-related outcome;Rare Liver (Auto imune);Overt encephalopathy;radio
ha;166;R_AIH_Change_of_treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Change of treatment regimen (other than dose change);radio
ha;166;R_AIH_Azathioprine_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine;radio
ha;166;R_AIH_Azathioprine_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_AIH_Prednisolone_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Prednisolone/Prednisone;radio
ha;166;R_AIH_Prednisolone_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_AIH_Budesonide_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Budesonide;radio
ha;166;R_AIH_Budesonide_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_AIH_Mercaptopurine_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Mercaptopurine (6-MP);radio
ha;166;R_AIH_Mercaptopurine_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_AIH_Tacrolimus_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Tacrolimus;radio
ha;166;R_AIH_Tacrolimus_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_AIH_MMF_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_AIH_Esophageal_or_gastric_varices_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ha;166;R_AIH_Hepatic_encephalopathy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Overt encephalopathy;radio
ha;166;R_AIH_Date_encephalopathy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date encephalopathy;date
ha;166;R_AIH_Tanner_stage_pubic_hair_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Tanner stage (1-5 pubic hair);numeric
ha;166;R_PSC_Desmet_and_Schauer_classification_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Desmet and Scheuer classification assessed;radio
ha;166;R_PSC_Ishak_Score_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Ishak Score assessed;radio
ha;166;R_PSC_Fibrosis_stage_ishak_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
ha;166;R_PSC_mHAI_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);mHAI;numeric
ha;166;R_PSC_Esophageal_gastric_varices_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ha;166;R_PSC_Date_esophageal_or_gastric_varices_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Date esophageal or gastric varices;date
ha;166;R_PSC_Encephalopahty_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Overt encephalopathy;radio
ha;166;R_PSC_Date_encephalopathy_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Date encephallopathy;date
ha;166;R_PSC_Tanner_stage_pubic_hair_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Tanner stage (1-5, pubic hair);numeric
ha;166;R_PSC_espghan_score_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);ESPGHAN Score;numeric
ha;166;R_PSC_AIH_Change_of_immunosuppressive_regimen_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Change of immunosuppressive regimen (other than dose change);radio
ha;166;R_PSC_AIH_Azathioprine_change_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Azathioprine;radio
ha;166;R_PSC_AIH_Azathioprine_change_reason_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_PSC_AIH_Prednisolone_change_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Prednisolone/Prednisone;radio
ha;166;R_PSC_AIH_Prednisolone_change_reason_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_AIH_Budesonide_change_followup_1;PSC Follow-up Treatment;Rare Liver (Auto imune);Budesonide;radio
ha;166;R_PSC_AIH_Budesonide_change_reason_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_PSC_AIH_Mercaptopurine_change_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Mercaptopurine (6-MP);radio
ha;166;R_PSC_AIH_Mercaptopurine_change_reason_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_PSC_AIH_Tacrolimus_change_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Tacrolimus;radio
ha;166;R_PSC_AIH_Tacrolimus_change_reason_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_PSC_AIH_MMF_change_reason_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Reason for change;radio
ha;166;R_AIH_Tanner_stage_hair_followup;AIH Follow-up Outcome I;Rare Liver (Auto imune);Tanner stage (1-5, pubic hair);numeric
ha;166;R_AIH_espghan_score_followup;AIH Follow-up Outcome I;Rare Liver (Auto imune);ESPGHAN Score;numeric
ha;166;R_AIH_Ishak_score_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Ishak score assessed?;radio
ha;166;R_AIH_Fibrosis_stage_Ishak_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
ha;166;R_AIH_mHAI_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);mHAI;numeric
ha;166;R_AIH_Esophageal_or_gastric_varices_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ha;166;R_AIH_Date_esophageal_or_gastric_varices_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Date of esophageal or gastric varices;date
